x_label;y_label;cl_x;cl_y;hl_x;hl_y;id7
46;J;31.1563;5.9661;0;0;TUBE.283
48;J;32.4821;5.9661;0;0;TUBE.284
50;J;33.8079;5.9661;0;0;TUBE.285
52;J;35.1337;5.9661;0;0;TUBE.286
37;K;25.1902;6.629;0;0;TUBE.287
39;K;26.516;6.629;0;0;TUBE.288
41;K;27.8418;6.629;0;0;TUBE.289
43;K;29.1676;6.629;0;0;TUBE.290
45;K;30.4934;6.629;0;0;TUBE.291
47;K;31.8192;6.629;0;0;TUBE.292
49;K;33.145;6.629;0;0;TUBE.293
51;K;34.4708;6.629;0;0;TUBE.294
